City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mnogovershinnyy,80,RU,1553756294,66,53.94,139.92,20.6,7.4
arraial do cabo,88,BR,1553756294,93,-22.97,-42.02,77.57,7.85
tuy hoa,0,VN,1553756294,65,13.08,109.3,87.83,9.53
jamestown,20,AU,1553756295,66,-33.21,138.6,71.27,5.61
kerema,20,PG,1553756295,93,-7.96,145.78,78.2,0.81
edson,90,CA,1553752800,77,53.59,-116.44,32.0,4.94
thompson,40,CA,1553752800,66,55.74,-97.86,10.4,6.93
atikokan,80,CA,1553756296,82,48.76,-91.62,38.24,9.53
provideniya,92,RU,1553755836,94,64.42,-173.23,31.58,19.04
rikitea,68,PF,1553755803,100,-23.12,-134.97,76.22,6.29
yellowknife,90,CA,1553755724,92,62.45,-114.38,21.99,9.17
carnarvon,0,ZA,1553755824,43,-30.97,22.13,54.62,2.93
san fernando,0,CL,1553752800,93,-34.58,-70.99,51.8,1.12
muros,0,ES,1553756288,85,42.77,-9.06,55.99,1.12
blackfoot,75,US,1553756118,69,43.19,-112.35,45.0,3.36
marsh harbour,0,BS,1553756298,100,26.54,-77.06,68.12,9.53
wanning,75,AT,1553756274,86,48.64,13.53,43.0,5.82
sao filipe,0,CV,1553756299,100,14.9,-24.5,68.84,11.21
lima,0,PE,1553756106,83,-12.06,-77.04,71.6,5.82
flinders,40,AU,1553756226,57,-34.58,150.85,77.0,13.87
victoria,75,BN,1553752800,74,5.28,115.24,87.8,8.05
hobart,0,AU,1553755996,40,-42.88,147.33,72.0,12.75
ahipara,100,NZ,1553756300,84,-35.17,173.16,69.74,9.86
dikson,76,RU,1553756301,100,73.51,80.55,24.38,35.93
marabba,0,SD,1553756301,17,12.35,32.18,74.6,7.52
guerrero negro,76,MX,1553756301,99,27.97,-114.04,55.43,7.74
antofagasta,0,CL,1553752800,77,-23.65,-70.4,62.6,5.82
mahebourg,75,MU,1553756045,74,-20.41,57.7,87.01,9.17
akdepe,90,TM,1553754600,81,42.05,59.39,48.2,16.11
moindou,75,NC,1553754600,58,-21.69,165.68,82.4,5.82
longonjo,0,AO,1553752800,88,-12.91,15.25,66.2,2.59
atuona,0,PF,1553756303,100,-9.8,-139.03,82.7,14.0
cherskiy,32,RU,1553756303,58,68.75,161.3,2.15,6.51
chuy,8,UY,1553756304,89,-33.69,-53.46,60.65,9.53
houma,68,CN,1553756304,52,35.63,111.36,61.19,3.94
butaritari,88,KI,1553756304,99,3.07,172.79,84.5,19.26
ancud,90,CL,1553752800,100,-41.87,-73.83,44.6,2.24
bilma,44,NE,1553756305,31,18.69,12.92,63.35,3.94
barra patuca,92,HN,1553756305,82,15.8,-84.28,80.0,15.35
east london,0,ZA,1553752800,64,-33.02,27.91,69.8,8.05
marmande,0,FR,1553756301,73,44.5,0.16,46.99,2.24
upernavik,64,GL,1553756306,100,72.79,-56.15,4.4,6.96
ambilobe,24,MG,1553756306,76,-13.19,49.05,85.13,3.94
saint anthony,75,US,1553756118,69,43.97,-111.68,39.99,3.36
chokurdakh,24,RU,1553756307,84,70.62,147.9,5.21,12.88
bom sucesso,12,BR,1553756307,67,-21.03,-44.76,65.51,10.98
busselton,8,AU,1553755606,24,-33.64,115.35,73.0,18.7
custoias,0,PT,1553755517,34,41.11,-7.32,53.01,3.0
kapaa,20,US,1553756293,78,22.08,-159.32,73.4,6.62
nadym,0,RU,1553756308,97,65.53,72.51,28.7,9.19
la ronge,90,CA,1553754060,62,55.1,-105.3,24.8,8.05
ushuaia,12,AR,1553755573,100,-54.81,-68.31,33.74,5.61
constitucion,12,MX,1553755817,35,23.99,-104.67,62.01,7.0
la primavera,90,AR,1553752800,87,-32.92,-68.67,59.0,10.42
albany,75,US,1553755750,47,42.65,-73.75,35.6,14.99
bluff,100,AU,1553756309,98,-23.58,149.07,71.54,12.1
castro,90,CL,1553752800,100,-42.48,-73.76,44.6,2.24
pringsewu,76,ID,1553756310,83,-5.36,104.98,83.15,3.04
iqaluit,75,CA,1553752800,71,63.75,-68.52,5.0,12.75
mar del plata,12,AR,1553756311,71,-46.43,-67.52,50.84,9.98
georgetown,92,GY,1553755542,86,6.8,-58.16,77.57,5.95
omsukchan,64,RU,1553756311,74,62.53,155.8,5.84,10.98
qaanaaq,44,GL,1553756312,82,77.48,-69.36,-9.82,8.41
hamilton,75,BM,1553755509,82,32.3,-64.78,62.6,16.11
mataura,0,NZ,1553755807,74,-46.19,168.86,57.99,3.71
kinsale,20,IE,1553754600,100,51.71,-8.52,35.6,3.36
beira,0,ES,1553756288,65,43.2,-8.36,52.0,3.94
cap malheureux,75,MU,1553756045,74,-19.98,57.61,87.01,9.17
tuktoyaktuk,32,CA,1553755785,91,69.44,-133.03,26.27,11.77
fortuna,0,ES,1553756243,52,38.18,-1.13,51.01,2.24
hami,0,CN,1553756314,47,42.84,93.51,59.12,4.83
tasiilaq,32,GL,1553752200,61,65.61,-37.64,17.6,5.82
vila velha,40,BR,1553756289,94,-3.71,-38.6,77.0,4.7
temyasovo,80,RU,1553754600,100,52.99,58.1,28.4,13.42
