Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_purchase (Unique users),af_purchase (Event counter),af_purchase (Sales in USD),af_start_trial (Unique users),af_start_trial (Event counter),af_start_trial (Sales in USD),ltv_20190513 (Unique users),ltv_20190513 (Event counter),ltv_20190513 (Sales in USD),new_workout_saved (Unique users),new_workout_saved (Event counter),new_workout_saved (Sales in USD)
2019-05-12,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,129,0,258,0,0,0,N/A,0,0,0,0,0,0,6,7,0,3,3,93,387,387,0
2019-05-11,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,34,0,102,0,0,0,N/A,0,0,0,0,0,0,1,1,0,1,1,31,102,102,0
2019-05-10,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,208,0,832,0,0,0,N/A,0,0,0,0,0,0,10,13,0,6,6,186,624,624,0
2019-05-09,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,120,0,600,0,0,0,N/A,0,0,0,0,0,0,6,6,0,3,3,93,240,240,0
2019-05-08,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,215,0,430,0,0,0,N/A,0,0,0,0,0,0,10,11,0,6,6,186,645,645,0
2019-05-08,None,Facebook Ads,Other ads for ANDROID,0,0,0,99,0,495,0,0,0,N/A,0,0,0,0,0,0,4,4,0,2,2,62,198,198,0
2019-05-07,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,33,0,132,0,0,0,N/A,0,0,0,0,0,0,1,1,0,1,1,31,99,99,0
2019-05-07,None,Facebook Ads,Other ads for ANDROID,0,0,0,106,0,530,0,0,0,N/A,0,0,0,0,0,0,5,6,0,3,3,93,106,106,0
2019-05-06,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,256,0,1280,0,0,0,N/A,0,0,0,0,0,0,12,12,0,7,7,217,256,256,0
2019-05-05,None,Facebook Ads,Evergreen Ads for ANDROID,0,0,0,118,0,472,0,0,0,N/A,0,0,0,1,1,0,5,5,0,3,3,93,236,236,0
