date,device_type,advertiser,campaign_type,spend,impressions,impressions_unique,clicks,clicks_unique,views,installs,sessions,new_workout_saved_unique,af_purchase_unique,af_purchase_all,af_start_trial_unique,af_start_trial_all,trial_starts_unique,trial_starts_all,ltv_subs_unique,ltv_subs_all,ltv_subs_revenue
2019-04-29,IOS,Facebook Ads,Evergreen,29.42,8000.0,7000.0,100.0,80.0,,31,124,93,3,4,0,0,3,4,1,1,31.23
2019-04-29,IOS,googleadwords_int,Other,200.0,65000.0,,2200.0,,4000.0,92,460,92,3,3,0,0,3,3,1,1,31.23
2019-04-29,IOS,Organic,Other,,,,,,,170,340,170,5,5,0,0,5,5,2,2,62.46
2019-04-29,IOS,Apple Search Ads,Basic,0.0,,,,,,41,164,123,2,2,0,0,2,2,1,1,31.23
2019-04-29,IOS,Apple Search Ads,Advanced,45.66,,,,,,34,98,98,0,0,0,0,0,0,0,0,0.0
2019-04-29,IOS,Facebook Ads,Other,120.73,35000.0,32000.0,400.0,350.0,,101,303,202,6,6,0,0,6,6,3,3,93.69
2019-04-29,IOS,pinterest_int,Other,220.0,32000.0,32000.0,1000.0,1000.0,,239,717,360,12,14,0,0,12,14,6,6,187.38
2019-04-30,IOS,Apple Search Ads,Basic,0.0,,,,,,53,159,53,3,3,0,0,3,3,1,1,31.23
2019-04-30,IOS,Apple Search Ads,Advanced,67.39,,,,,,60,163,87,1,3,0,0,1,3,0,0,0.0
2019-04-30,IOS,pinterest_int,Other,230.0,40000.0,40000.0,1200.0,1200.0,,248,812,406,15,16,0,0,15,16,7,7,218.61
2019-04-30,IOS,Facebook Ads,Evergreen,109.56,35000.0,32000.0,400.0,350.0,,104,208,208,11,13,0,0,11,13,6,6,187.38
2019-04-30,IOS,Organic,Other,,,,,,,180,360,180,5,5,0,0,5,5,3,3,93.69
2019-04-30,IOS,googleadwords_int,Other,300.0,80000.0,,2800.0,,5000.0,136,680,408,5,5,0,0,5,5,3,4,124.92
2019-05-01,IOS,Apple Search Ads,Basic,0.0,,,,,,41,123,41,1,1,0,0,1,1,0,0,0.0
2019-05-01,IOS,googleadwords_int,Other,100.0,25000.0,,800.0,,1500.0,34,170,102,1,1,0,0,1,1,0,0,0.0
2019-05-01,IOS,pinterest_int,Other,370.0,70000.0,70000.0,1600.0,1600.0,,420,1596,672,20,22,0,0,20,22,11,11,343.53000000000003
2019-05-01,IOS,Apple Search Ads,Advanced,73.75,,,,,,66,277,99,3,3,0,0,3,3,1,2,62.46
2019-05-01,IOS,Organic,Other,,,,,,,236,944,708,9,11,0,0,9,11,5,5,156.15
2019-05-01,IOS,Facebook Ads,Evergreen,102.47,30000.0,28000.0,350.0,300.0,,93,465,186,11,12,0,0,11,12,5,5,156.15
2019-05-02,IOS,Organic,Other,,,,,,,227,1135,227,7,7,0,0,7,7,3,3,93.69
2019-05-02,IOS,googleadwords_int,Other,200.0,65000.0,,2200.0,,4000.0,81,405,162,2,2,0,0,2,2,1,1,31.23
2019-05-02,IOS,Apple Search Ads,Advanced,48.44,,,,,,49,150,98,1,1,0,0,1,1,0,0,0.0
2019-05-02,IOS,pinterest_int,Other,330.0,70000.0,70000.0,1650.0,1650.0,,364,1307,579,20,21,0,0,20,21,10,10,312.3
